session_date,instrument,time,open,high,low,close,volume
2026-05-01,MNQ,1780911000,21193.75,21197.5,21188.75,21188.75,16269
2026-05-01,MNQ,1780911060,21187.75,21189.25,21185.75,21186.75,14427
2026-05-01,MNQ,1780911120,21186.75,21189.75,21185.5,21186,14937
2026-05-01,MNQ,1780911180,21185.5,21188.5,21182.25,21182.25,36349
2026-05-01,MNQ,1780911240,21184.5,21193.5,21184.5,21192.75,34642
2026-05-01,MNQ,1780911300,21193.5,21197.5,21185,21187,22563
2026-05-01,MNQ,1780911360,21186.75,21190.75,21184.25,21187.25,5659
2026-05-01,MNQ,1780911420,21187.25,21193.25,21184.5,21192.5,9045
2026-05-01,MNQ,1780911480,21192.25,21199,21189,21199,6280
2026-05-01,MNQ,1780911540,21199,21199,21192.5,21193.25,7401
2026-05-01,MNQ,1780911600,21193.5,21200.5,21192.75,21197.5,11297
2026-05-01,MNQ,1780911660,21198,21199.5,21190.5,21190.75,10001
2026-05-01,MNQ,1780911720,21189.5,21191.75,21174.5,21174.5,7448
2026-05-01,MNQ,1780911780,21174.25,21174.25,21170,21172.75,6343
2026-05-01,MNQ,1780911840,21172,21179.75,21171.5,21179.25,8100
2026-05-01,MNQ,1780911900,21179.5,21179.75,21176.75,21178.25,3445
2026-05-01,MNQ,1780911960,21178.75,21181.25,21177.5,21177.75,4072
2026-05-01,MNQ,1780912020,21177.5,21179,21177,21178,2695
2026-05-01,MNQ,1780912080,21177.75,21182.25,21176.25,21179.5,12485
2026-05-01,MNQ,1780912140,21178.75,21181.5,21172.25,21172.75,10619
2026-05-01,MNQ,1780912200,21173.25,21174.5,21172.5,21174,7973
2026-05-01,MNQ,1780912260,21174.25,21177.25,21171.25,21176.25,10389
2026-05-01,MNQ,1780912320,21176.25,21177.5,21172.5,21174,9611
2026-05-01,MNQ,1780912380,21174,21176.25,21170,21172.75,7997
2026-05-01,MNQ,1780912440,21173,21177.25,21172.25,21176.25,7932
2026-05-01,MNQ,1780912500,21176,21179.25,21175.25,21176.25,5968
2026-05-01,MNQ,1780912560,21176,21179.75,21172.75,21173,5079
2026-05-01,MNQ,1780912620,21173.5,21177.5,21173.5,21174.25,5589
2026-05-01,MNQ,1780912680,21174.25,21179,21174,21175.25,8176
2026-05-01,MNQ,1780912740,21175.5,21176.25,21174,21175.5,5988
2026-05-01,MNQ,1780912800,21175.5,21178,21173,21178,6971
2026-05-01,MNQ,1780912860,21177.25,21179.25,21175.5,21175.5,5639
2026-05-01,MNQ,1780912920,21175.5,21177.25,21174.5,21174.5,5501
2026-05-01,MNQ,1780912980,21174.5,21178.75,21172.25,21176.75,4942
2026-05-01,MNQ,1780913040,21176.5,21179.5,21174.25,21176.25,7147
2026-05-01,MNQ,1780913100,21176.25,21183,21172.5,21182,5765
2026-05-01,MNQ,1780913160,21181.75,21182,21175.5,21176.25,7165
2026-05-01,MNQ,1780913220,21176.25,21183.75,21174.5,21182,5639
2026-05-01,MNQ,1780913280,21182,21182.25,21176.75,21176.75,6012
2026-05-01,MNQ,1780913340,21176.75,21178.25,21164,21165.75,7716
2026-05-01,MNQ,1780913400,21166.25,21167.25,21162,21164,15010
2026-05-01,MNQ,1780913460,21164.5,21165.25,21161.25,21161.25,19091
2026-05-01,MNQ,1780913520,21160.25,21161.5,21158,21158.75,35675
2026-05-01,MNQ,1780913580,21159.25,21160,21156.25,21158,12399
2026-05-01,MNQ,1780913640,21157.5,21167.25,21156.25,21167.25,10248
2026-05-01,MNQ,1780913700,21166.75,21168.5,21161.75,21163.25,9262
2026-05-01,MNQ,1780913760,21163.75,21167.25,21162.5,21164.5,5585
2026-05-01,MNQ,1780913820,21164.25,21170.5,21162.25,21169.25,4961
2026-05-01,MNQ,1780913880,21168.25,21177,21166.5,21175,5049
2026-05-01,MNQ,1780913940,21175,21175.75,21171.25,21172,4584
2026-05-01,MNQ,1780914000,21172,21172.75,21164.25,21167.5,7389
2026-05-01,MNQ,1780914060,21167.5,21170.25,21163.75,21164.5,9359
2026-05-01,MNQ,1780914120,21165,21169.75,21165,21169.25,8745
2026-05-01,MNQ,1780914180,21169.25,21171.25,21167.75,21167.75,6555
2026-05-01,MNQ,1780914240,21167.25,21169,21163.75,21164.75,7923
2026-05-01,MNQ,1780914300,21165,21167,21161.75,21166.25,6631
2026-05-01,MNQ,1780914360,21166.25,21168.5,21162.5,21164,5621
2026-05-01,MNQ,1780914420,21163.25,21164,21157.25,21160,5367
2026-05-01,MNQ,1780914480,21161,21166,21160,21165.25,5432
2026-05-01,MNQ,1780914540,21165,21165.5,21164.25,21164.5,4212
2026-05-01,MNQ,1780914600,21164.75,21166.75,21164.5,21164.5,4510
2026-05-01,MNQ,1780914660,21164.25,21164.5,21160.5,21161.25,4346
2026-05-01,MNQ,1780914720,21161.25,21161.75,21157.25,21159.75,6046
2026-05-01,MNQ,1780914780,21159.5,21162.25,21156.25,21156.25,5237
2026-05-01,MNQ,1780914840,21156.75,21157.25,21154.25,21156.75,4503
2026-05-01,MNQ,1780914900,21156.75,21161,21153.75,21158.5,5590
2026-05-01,MNQ,1780914960,21158.25,21159.25,21157,21158.5,2452
2026-05-01,MNQ,1780915020,21158,21161.75,21157.75,21159.25,3607
2026-05-01,MNQ,1780915080,21158.5,21165,21158,21162,6756
2026-05-01,MNQ,1780915140,21162.5,21163.5,21156.75,21158.75,6851
2026-05-01,MNQ,1780915200,21158.75,21164.5,21157,21162,10104
2026-05-01,MNQ,1780915260,21161.25,21167.25,21161,21164.75,10521
2026-05-01,MNQ,1780915320,21164.75,21165.25,21155,21156.5,12858
2026-05-01,MNQ,1780915380,21155.75,21161.25,21152.5,21160.25,8862
2026-05-01,MNQ,1780915440,21160.25,21162,21149,21149,8128
2026-05-01,MNQ,1780915500,21149,21151.5,21141,21141.75,6966
2026-05-01,MNQ,1780915560,21142.25,21145.25,21138.25,21138.5,5912
2026-05-01,MNQ,1780915620,21138,21139.5,21128.5,21128.5,6163
2026-05-01,MNQ,1780915680,21129,21131,21120.25,21120.75,7211
2026-05-01,MNQ,1780915740,21120.75,21124.5,21115.25,21115.25,5550
2026-05-01,MNQ,1780915800,21115.25,21118.75,21103.75,21104.5,9878
2026-05-01,MNQ,1780915860,21104.25,21108,21102.25,21105.75,11774
2026-05-01,MNQ,1780915920,21107,21109,21102.25,21102.25,10956
2026-05-01,MNQ,1780915980,21102.5,21112.25,21101.25,21111.75,9455
2026-05-01,MNQ,1780916040,21112.75,21113,21106.25,21108.25,7226
2026-05-01,MNQ,1780916100,21109.25,21111,21099,21101,7279
2026-05-01,MNQ,1780916160,21101.75,21107.25,21101.75,21103.75,6182
2026-05-01,MNQ,1780916220,21103.75,21109.75,21102.25,21105.25,7625
2026-05-01,MNQ,1780916280,21105,21106,21103.25,21105.25,6303
2026-05-01,MNQ,1780916340,21104.5,21105,21103,21104,1853
2026-05-01,MNQ,1780916400,21104,21105.25,21103.25,21103.25,3310
2026-05-01,MNQ,1780916460,21103,21104.25,21099.75,21099.75,9137
2026-05-01,MNQ,1780916520,21099,21102,21098.25,21099.75,6776
2026-05-01,MNQ,1780916580,21100,21103.75,21098.5,21100.5,6972
2026-05-01,MNQ,1780916640,21100,21102.25,21095.25,21096.5,6319
2026-05-01,MNQ,1780916700,21096.5,21097.25,21094.25,21094.5,3734
2026-05-01,MNQ,1780916760,21094,21098,21092.75,21094.5,7780
2026-05-01,MNQ,1780916820,21093.75,21097.5,21089.25,21090.5,4254
2026-05-01,MNQ,1780916880,21090.25,21092.5,21088,21089.25,6912
2026-05-01,MNQ,1780916940,21089.5,21089.5,21081.5,21082.5,6620
2026-05-01,MNQ,1780917000,21082.5,21086.5,21081.5,21082.75,3443
2026-05-01,MNQ,1780917060,21082.75,21085.25,21082.75,21083.75,4151
2026-05-01,MNQ,1780917120,21083.75,21085,21080.25,21080.75,7236
2026-05-01,MNQ,1780917180,21080.75,21084.25,21080.25,21083.75,4271
2026-05-01,MNQ,1780917240,21085,21087.25,21085,21087.25,2722
2026-05-01,MNQ,1780917300,21087.75,21089.75,21084,21084,4249
2026-05-01,MNQ,1780917360,21085,21087,21084.75,21084.75,3893
2026-05-01,MNQ,1780917420,21085.25,21085.25,21075.75,21077.75,5302
2026-05-01,MNQ,1780917480,21078.5,21080.25,21071.75,21074,4585
2026-05-01,MNQ,1780917540,21075.5,21078.5,21071.75,21071.75,7645
2026-05-01,MNQ,1780917600,21071.5,21075.75,21070.75,21070.75,6644
2026-05-01,MNQ,1780917660,21070.25,21079,21070.25,21077,6864
2026-05-01,MNQ,1780917720,21077.25,21084.75,21075.75,21082.25,11402
